 Format                 IAGA-2002                                    |
 Source of Data         WDC for Geomagnetism, Kyoto                  |
 Station Name           AE Indices                                   |
 IAGA CODE              AE                                           |
 Geodetic Latitude                                                   |
 Geodetic Longitude                                                  |
 Elevation                                                           |
 Reported               AE,AU,AL,AO                                  |
 Sensor Orientation                                                  |
 Digital Sampling                                                    |
 Data Interval Type     1-hour                                       |
 Data Type              Provisional                                  |
 # Converted to IAGA2002 format                                      |
 #   by WDC for Geomagnetism, Kyoto. 2016-06-01                      |
 # The values in the raw of 00:00:00:00.000 are those converted      |
 #  from those in the column of 21-24 which are usually              |
 #  the mean values between 00:00UT and 01:00UT, etc..               |
DATE       TIME         DOY     AE        AU        AL        AO     |
2009-07-24 21:00:00.000 205        60.00     18.00    -41.00    -12.00
2009-07-24 22:00:00.000 205        65.00     25.00    -41.00     -8.00
2009-07-24 23:00:00.000 205        85.00     26.00    -60.00    -17.00
2009-07-25 00:00:00.000 206        98.00     49.00    -49.00      0.00
2009-07-25 01:00:00.000 206       128.00     81.00    -48.00     17.00
2009-07-25 02:00:00.000 206       350.00    135.00   -215.00    -40.00
2009-07-25 03:00:00.000 206       307.00     96.00   -211.00    -58.00
2009-07-25 04:00:00.000 206       177.00     68.00   -109.00    -21.00
2009-07-25 05:00:00.000 206       118.00     69.00    -49.00     10.00
2009-07-25 06:00:00.000 206        34.00     28.00     -6.00     11.00
2009-07-25 07:00:00.000 206        20.00     10.00     -9.00      1.00
2009-07-25 08:00:00.000 206        22.00     10.00    -13.00     -2.00
2009-07-25 09:00:00.000 206        30.00      9.00    -21.00     -6.00
2009-07-25 10:00:00.000 206        39.00     10.00    -29.00    -10.00
2009-07-25 11:00:00.000 206        75.00     18.00    -57.00    -20.00
2009-07-25 12:00:00.000 206       185.00     34.00   -151.00    -59.00
2009-07-25 13:00:00.000 206       165.00     24.00   -141.00    -58.00
2009-07-25 14:00:00.000 206       125.00     22.00   -103.00    -41.00
2009-07-25 15:00:00.000 206       103.00     29.00    -74.00    -23.00
2009-07-25 16:00:00.000 206       112.00     29.00    -83.00    -28.00
2009-07-25 17:00:00.000 206        81.00     28.00    -53.00    -13.00
2009-07-25 18:00:00.000 206        42.00     20.00    -23.00     -2.00
2009-07-25 19:00:00.000 206        47.00     20.00    -26.00     -3.00
2009-07-25 20:00:00.000 206        43.00     18.00    -26.00     -4.00
2009-07-25 21:00:00.000 206        57.00     26.00    -31.00     -2.00
2009-07-25 22:00:00.000 206        52.00     13.00    -38.00    -13.00
2009-07-25 23:00:00.000 206        44.00     10.00    -33.00    -12.00
